eid,iso3c
2-s2.0-105010200447,SGP
2-s2.0-105010185335,USA
2-s2.0-105010185335,SAU
2-s2.0-105010185335,KOR
2-s2.0-105010222109,CHN
2-s2.0-105010222109,USA
2-s2.0-105010222109,GBR
2-s2.0-105010184001,GBR
2-s2.0-105010270850,FIN
2-s2.0-85140192187,CHE
2-s2.0-85140192187,ITA
2-s2.0-85175681368,ESP
2-s2.0-105010205340,CHN
2-s2.0-105010197631,GBR
2-s2.0-105010197631,AUS
2-s2.0-105010264677,CHN
2-s2.0-105010205584,CHE
2-s2.0-105010205584,DNK
2-s2.0-105010228467,CHN
2-s2.0-105010228467,HKG
2-s2.0-105010242403,DEU
2-s2.0-105010242403,USA
2-s2.0-105010242403,GBR
2-s2.0-105010220615,USA
2-s2.0-105010183227,CHN
2-s2.0-85199908763,USA
2-s2.0-105010207525,CHN
2-s2.0-105010220614,CAN
2-s2.0-85132263880,KOR
2-s2.0-85132263880,USA
2-s2.0-85134537286,USA
2-s2.0-105010216598,USA
2-s2.0-85150336374,USA
2-s2.0-105010194128,DEU
2-s2.0-105010254514,SAU
2-s2.0-105010193157,USA
2-s2.0-105010231877,FRA
2-s2.0-105010231877,CHE
2-s2.0-85046996557,CAN
2-s2.0-85046996557,GBR
2-s2.0-85046996557,ITA
2-s2.0-105010195576,USA
2-s2.0-105010194374,GBR
2-s2.0-105010194374,USA
2-s2.0-105010286458,USA
2-s2.0-105010286458,CHE
2-s2.0-105010286458,DNK
2-s2.0-105010229784,CAN
2-s2.0-105010229784,CHN
2-s2.0-105010232831,HKG
2-s2.0-105010232831,CHN
2-s2.0-85199872012,CAN
2-s2.0-105010241668,SAU
2-s2.0-105010241668,GBR
2-s2.0-105010239584,CHN
2-s2.0-105010239584,USA
2-s2.0-105010184300,USA
2-s2.0-105010184300,GBR
2-s2.0-105010240694,CHN
2-s2.0-105010214189,CHN
2-s2.0-105010284394,CHN
2-s2.0-105010200907,CHN
2-s2.0-85200586521,NOR
2-s2.0-105031772238,USA
2-s2.0-105010195465,USA
2-s2.0-105010195465,DEU
2-s2.0-85200539539,CHN
2-s2.0-85200539539,USA
2-s2.0-105010196677,CHN
2-s2.0-105010196677,GBR
2-s2.0-105010229450,DEU
2-s2.0-105010205362,USA
2-s2.0-105010205362,GBR
2-s2.0-105010209602,GBR
2-s2.0-105010209602,CAN
2-s2.0-105010209602,CHE
2-s2.0-85149168275,DEU
2-s2.0-105010262115,FRA
2-s2.0-105010232742,USA
2-s2.0-105010241698,AUS
2-s2.0-105010241698,JPN
2-s2.0-85188640245,USA
2-s2.0-105010245934,CHN
2-s2.0-85190514492,USA
2-s2.0-85134995965,CHN
2-s2.0-85134995965,USA
2-s2.0-85200562549,FRA
2-s2.0-105010231777,CAN
2-s2.0-85146905167,CHN
2-s2.0-85146905167,USA
2-s2.0-85196580685,CHN
2-s2.0-85196580685,SGP
2-s2.0-85200608529,USA
2-s2.0-105010229562,USA
2-s2.0-105010229562,ESP
2-s2.0-105010229562,FIN
2-s2.0-85189648193,USA
2-s2.0-105010209855,CHN
2-s2.0-105010206225,USA
2-s2.0-105010252443,CHN
2-s2.0-105010187837,CHN
2-s2.0-105010187837,GBR
2-s2.0-105010187837,CAN
2-s2.0-105010187837,AUS
2-s2.0-105010250387,SGP
2-s2.0-105010185415,USA
2-s2.0-105010183353,CHN
2-s2.0-105010199807,USA
2-s2.0-85188704673,DEU
2-s2.0-85188704673,NLD
2-s2.0-105010230558,CHN
2-s2.0-105010230558,USA
2-s2.0-105010265873,USA
2-s2.0-105010234917,CHN
2-s2.0-105010234917,HKG
2-s2.0-105010234917,USA
2-s2.0-85196127178,CHN
2-s2.0-85196127178,CHE
2-s2.0-85200549350,CAN
2-s2.0-105010206353,CHN
2-s2.0-105010205022,GBR
2-s2.0-105010205022,CHE
2-s2.0-85200541950,GBR
2-s2.0-85200541950,AUT
2-s2.0-105010257823,SGP
2-s2.0-105010191053,USA
2-s2.0-105010205023,KOR
